0 1
0.01 0.9901
0.02 0.9803
0.03 0.97059
0.04 0.96098
0.05 0.95147
0.06 0.94205
0.07 0.93272
0.08 0.92348
0.09 0.91434
0.1 0.90529
0.11 0.89632
0.12 0.88745
0.13 0.87866
0.14 0.86996
0.15 0.86135
0.16 0.85282
0.17 0.84438
0.18 0.83602
0.19 0.82774
0.2 0.81954
0.21 0.81143
0.22 0.8034
0.23 0.79544
0.24 0.78757
0.25 0.77977
0.26 0.77205
0.27 0.7644
0.28 0.75684
0.29 0.74934
0.3 0.74192
0.31 0.73458
0.32 0.7273
0.33 0.7201
0.34 0.71297
0.35 0.70591
0.36 0.69892
0.37 0.692
0.38 0.68515
0.39 0.67837
0.4 0.67165
0.41 0.665
0.42 0.65842
0.43 0.6519
0.44 0.64545
0.45 0.63905
0.46 0.63273
0.47 0.62646
0.48 0.62026
0.49 0.61412
0.5 0.60804
0.51 0.60202
0.52 0.59606
0.53 0.59016
0.54 0.58431
0.55 0.57853
0.56 0.5728
0.57 0.56713
0.58 0.56151
0.59 0.55595
0.6 0.55045
0.61 0.545
0.62 0.5396
0.63 0.53426
0.64 0.52897
0.65 0.52373
0.66 0.51855
0.67 0.51341
0.68 0.50833
0.69 0.5033
0.7 0.49831
0.71 0.49338
0.72 0.4885
0.73 0.48366
0.74 0.47887
0.75 0.47413
0.76 0.46944
0.77 0.46479
0.78 0.46019
0.79 0.45563
0.8 0.45112
0.81 0.44665
0.82 0.44223
0.83 0.43785
0.84 0.43352
0.85 0.42922
0.86 0.42497
0.87 0.42077
0.88 0.4166
0.89 0.41248
0.9 0.40839
0.91 0.40435
0.92 0.40034
0.93 0.39638
0.94 0.39246
0.95 0.38857
0.96 0.38472
0.97 0.38091
0.98 0.37714
0.99 0.37341
1 0.36971
